train_number,date, total_available
52238,11/1/2023,254
52239,11/1/2023,163
52240,11/1/2023,14
52241,11/1/2023,127
52242,11/1/2023,210
52243,11/1/2023,381
52244,11/1/2023,387
52245,11/1/2023,232
52246,11/1/2023,270
52247,11/1/2023,135
52248,11/1/2023,291
52249,11/1/2023,261
52250,11/1/2023,309
52251,11/1/2023,400
52252,11/1/2023,257
52253,11/1/2023,195
52254,11/1/2023,218
52255,11/1/2023,8
52257,11/1/2023,266
52258,11/1/2023,149
52259,11/1/2023,292
52260,11/1/2023,375
52261,11/1/2023,180
52262,11/1/2023,275
52263,11/1/2023,195
52264,11/1/2023,20
52265,11/1/2023,70
52266,11/1/2023,234
52267,11/1/2023,287
52268,11/1/2023,143
52269,11/1/2023,409
52270,11/1/2023,110
52271,11/1/2023,279
52272,11/1/2023,286
52273,11/1/2023,35
52274,11/1/2023,364
52275,11/1/2023,288
52276,11/1/2023,72
52277,11/1/2023,254
52278,11/1/2023,212
52279,11/1/2023,31
52280,11/1/2023,100
52282,11/1/2023,178
52283,11/1/2023,262
52285,11/1/2023,264
52286,11/1/2023,99
52287,11/1/2023,120
52288,11/1/2023,450
52295,11/1/2023,60
52296,11/1/2023,143
52297,11/1/2023,240
52298,11/1/2023,356
52301,11/1/2023,93
52302,11/1/2023,46
52321,11/1/2023,285
52322,11/1/2023,287
52323,11/1/2023,198
52324,11/1/2023,29
52325,11/1/2023,95
52326,11/1/2023,427
52327,11/1/2023,355
52328,11/1/2023,272
52329,11/1/2023,254
52330,11/1/2023,268
52331,11/1/2023,423
52332,11/1/2023,290
52401,11/1/2023,260
52402,11/1/2023,96
52403,11/1/2023,46
52404,11/1/2023,252
52405,11/1/2023,238
52406,11/1/2023,107
52407,11/1/2023,86
52408,11/1/2023,12
52411,11/1/2023,183
52412,11/1/2023,31
52413,11/1/2023,165
52414,11/1/2023,130
52415,11/1/2023,47
52451,11/1/2023,202
52452,11/1/2023,222
52453,11/1/2023,113
52454,11/1/2023,302
52455,11/1/2023,257
52456,11/1/2023,376
52457,11/1/2023,7
52458,11/1/2023,162
52461,11/1/2023,20
52462,11/1/2023,155
52463,11/1/2023,298
52464,11/1/2023,31
52465,11/1/2023,134
52466,11/1/2023,102
52467,11/1/2023,411
52468,11/1/2023,336
52469,11/1/2023,269
52470,11/1/2023,96
52471,11/1/2023,18
52472,11/1/2023,190
52473,11/1/2023,145
52474,11/1/2023,9
52501,11/1/2023,323
52502,11/1/2023,181
52503,11/1/2023,309
52504,11/1/2023,420
52505,11/1/2023,256
52506,11/1/2023,50
52507,11/1/2023,353
52508,11/1/2023,282
52509,11/1/2023,441
52510,11/1/2023,353
52511,11/1/2023,31
52512,11/1/2023,112
52515,11/1/2023,186
52516,11/1/2023,13
52517,11/1/2023,405
52518,11/1/2023,393
52519,11/1/2023,94
52520,11/1/2023,24
52521,11/1/2023,121
52522,11/1/2023,70
52523,11/1/2023,282
52524,11/1/2023,270
52525,11/1/2023,210
52526,11/1/2023,418
52527,11/1/2023,392
52528,11/1/2023,296
52529,11/1/2023,102
52530,11/1/2023,318
52531,11/1/2023,82
52532,11/1/2023,204
52533,11/1/2023,66
52534,11/1/2023,172
52535,11/1/2023,362
52536,11/1/2023,462
52537,11/1/2023,214
52538,11/1/2023,297
52540,11/1/2023,200
52541,11/1/2023,143
52544,11/1/2023,47
52545,11/1/2023,430
52547,11/1/2023,98
52548,11/1/2023,345
52549,11/1/2023,31
52550,11/1/2023,369
52551,11/1/2023,443
52552,11/1/2023,293
52553,11/1/2023,314
52554,11/1/2023,115
52555,11/1/2023,371
52556,11/1/2023,466
52557,11/1/2023,9
52558,11/1/2023,286
52563,11/1/2023,312
52564,11/1/2023,336
52565,11/1/2023,204
52566,11/1/2023,107
52567,11/1/2023,189
52568,11/1/2023,256
52569,11/1/2023,242
52570,11/1/2023,267
52571,11/1/2023,239
52572,11/1/2023,102
52575,11/1/2023,102
52576,11/1/2023,178
52577,11/1/2023,228
52578,11/1/2023,239
52579,11/1/2023,206
52580,11/1/2023,191
52901,11/1/2023,297
52902,11/1/2023,228
52903,11/1/2023,164
52904,11/1/2023,208
52905,11/1/2023,71
52906,11/1/2023,383
52907,11/1/2023,283
52908,11/1/2023,374
52909,11/1/2023,195
52910,11/1/2023,4
52911,11/1/2023,18
52912,11/1/2023,87
52913,11/1/2023,19
52914,11/1/2023,268
52915,11/1/2023,234
52916,11/1/2023,125
52917,11/1/2023,14
52918,11/1/2023,154
52919,11/1/2023,45
52920,11/1/2023,3
52921,11/1/2023,113
52922,11/1/2023,184
52923,11/1/2023,111
52924,11/1/2023,326
52925,11/1/2023,76
52926,11/1/2023,213
52927,11/1/2023,167
52928,11/1/2023,4
52929,11/1/2023,163
52930,11/1/2023,219
52931,11/1/2023,90
52932,11/1/2023,401
52933,11/1/2023,47
52935,11/1/2023,154
52936,11/1/2023,154
52937,11/1/2023,121
52938,11/1/2023,318
52939,11/1/2023,259
52941,11/1/2023,116
52942,11/1/2023,86
52943,11/1/2023,251
52944,11/1/2023,162
52945,11/1/2023,334
52946,11/1/2023,241
52947,11/1/2023,200
52948,11/1/2023,237
52949,11/1/2023,308
52950,11/1/2023,315
52951,11/1/2023,68
52952,11/1/2023,187
52953,11/1/2023,368
52954,11/1/2023,174
52955,11/1/2023,279
52956,11/1/2023,116
52957,11/1/2023,229
52958,11/1/2023,386
52959,11/1/2023,355
52960,11/1/2023,280
52961,11/1/2023,307
52962,11/1/2023,16
52963,11/1/2023,102
52964,11/1/2023,390
52965,11/1/2023,179
52966,11/1/2023,234
52967,11/1/2023,368
52968,11/1/2023,271
52969,11/1/2023,207
52970,11/1/2023,303
52971,11/1/2023,126
52972,11/1/2023,54
52973,11/1/2023,324
52974,11/1/2023,72
52975,11/1/2023,301
52976,11/1/2023,182
52977,11/1/2023,220
52978,11/1/2023,140
52979,11/1/2023,374
52980,11/1/2023,241
52981,11/1/2023,100
52982,11/1/2023,413
52983,11/1/2023,287
52984,11/1/2023,10
52985,11/1/2023,193
52986,11/1/2023,340
52987,11/1/2023,324
52988,11/1/2023,395
52989,11/1/2023,81
52990,11/1/2023,105
52991,11/1/2023,277
52992,11/1/2023,419
52993,11/1/2023,74
52994,11/1/2023,309
53001,11/1/2023,89
53002,11/1/2023,207
53003,11/1/2023,90
53004,11/1/2023,315
53006,11/1/2023,16
53007,11/1/2023,279
53008,11/1/2023,441
53010,11/1/2023,51
53012,11/1/2023,154
53014,11/1/2023,266
53016,11/1/2023,353
53017,11/1/2023,451
53018,11/1/2023,302
53021,11/1/2023,237
53022,11/1/2023,330
53029,11/1/2023,291
53030,11/1/2023,170
53035,11/1/2023,114
53036,11/1/2023,210
53041,11/1/2023,63
53042,11/1/2023,87
53043,11/1/2023,114
53044,11/1/2023,408
53045,11/1/2023,85
53046,11/1/2023,246
53047,11/1/2023,142
53048,11/1/2023,383
53049,11/1/2023,334
53050,11/1/2023,313
53061,11/1/2023,81
53062,11/1/2023,144
53063,11/1/2023,83
53064,11/1/2023,69
53065,11/1/2023,139
53066,11/1/2023,179
53067,11/1/2023,277
53068,11/1/2023,328
53069,11/1/2023,280
53070,11/1/2023,236
53073,11/1/2023,167
53074,11/1/2023,178
53131,11/1/2023,243
53132,11/1/2023,208
53135,11/1/2023,104
53136,11/1/2023,344
53137,11/1/2023,225
53138,11/1/2023,160
53139,11/1/2023,269
53140,11/1/2023,156
53152,11/1/2023,362
53153,11/1/2023,167
53154,11/1/2023,268
53155,11/1/2023,101
53156,11/1/2023,62
53172,11/1/2023,426
53173,11/1/2023,436
53174,11/1/2023,228
53175,11/1/2023,133
53177,11/1/2023,176
53178,11/1/2023,76
53179,11/1/2023,2
53180,11/1/2023,342
53181,11/1/2023,133
53203,11/1/2023,102
53204,11/1/2023,51
53205,11/1/2023,316
53206,11/1/2023,178
53207,11/1/2023,396
53208,11/1/2023,125
53213,11/1/2023,145
53214,11/1/2023,119
53215,11/1/2023,297
53216,11/1/2023,266
53217,11/1/2023,100
53218,11/1/2023,196
53219,11/1/2023,307
53220,11/1/2023,383
53227,11/1/2023,12
53228,11/1/2023,163
53229,11/1/2023,243
53230,11/1/2023,171
53231,11/1/2023,387
53232,11/1/2023,106
53321,11/1/2023,91
53322,11/1/2023,457
53323,11/1/2023,271
53324,11/1/2023,266
53325,11/1/2023,129
53326,11/1/2023,4
53327,11/1/2023,276
53328,11/1/2023,310
53333,11/1/2023,79
53334,11/1/2023,75
53335,11/1/2023,237
53336,11/1/2023,272
53337,11/1/2023,10
53338,11/1/2023,173
53339,11/1/2023,297
53340,11/1/2023,69
53341,11/1/2023,322
53342,11/1/2023,423
53343,11/1/2023,424
53344,11/1/2023,30
53345,11/1/2023,296
53346,11/1/2023,97
53347,11/1/2023,92
53348,11/1/2023,305
53349,11/1/2023,188
53350,11/1/2023,111
53351,11/1/2023,283
53352,11/1/2023,50
53358,11/1/2023,242
53359,11/1/2023,299
53360,11/1/2023,258
53361,11/1/2023,264
53362,11/1/2023,301
53363,11/1/2023,345
53364,11/1/2023,60
53401,11/1/2023,292
53402,11/1/2023,230
53403,11/1/2023,63
53404,11/1/2023,206
53405,11/1/2023,327
53406,11/1/2023,469
53411,11/1/2023,35
53412,11/1/2023,29
53415,11/1/2023,81
53416,11/1/2023,249
53417,11/1/2023,278
53418,11/1/2023,343
53421,11/1/2023,174
53422,11/1/2023,196
53423,11/1/2023,126
53424,11/1/2023,411
53425,11/1/2023,83
53426,11/1/2023,10
53427,11/1/2023,183
53428,11/1/2023,234
53429,11/1/2023,1
53430,11/1/2023,215
53431,11/1/2023,368
53432,11/1/2023,257
53441,11/1/2023,57
53442,11/1/2023,263
53443,11/1/2023,98
53444,11/1/2023,484
53445,11/1/2023,178
53446,11/1/2023,169
53447,11/1/2023,126
53448,11/1/2023,366
53449,11/1/2023,210
53450,11/1/2023,145
53474,11/1/2023,257
53481,11/1/2023,29
53482,11/1/2023,42
53483,11/1/2023,114
53484,11/1/2023,242
53485,11/1/2023,209
53487,11/1/2023,243
53490,11/1/2023,16
53491,11/1/2023,352
53492,11/1/2023,147
53493,11/1/2023,273
53494,11/1/2023,3
53511,11/1/2023,40
53512,11/1/2023,403
53513,11/1/2023,413
53514,11/1/2023,108
53517,11/1/2023,417
53518,11/1/2023,197
53519,11/1/2023,60
53520,11/1/2023,222
53521,11/1/2023,96
53522,11/1/2023,178
53547,11/1/2023,235
53548,11/1/2023,282
53551,11/1/2023,347
53552,11/1/2023,21
53553,11/1/2023,230
53554,11/1/2023,159
53567,11/1/2023,353
53601,11/1/2023,126
53602,11/1/2023,87
53603,11/1/2023,228
53604,11/1/2023,461
53607,11/1/2023,253
53608,11/1/2023,161
53609,11/1/2023,247
53610,11/1/2023,34
53611,11/1/2023,160
53612,11/1/2023,83
53613,11/1/2023,37
53614,11/1/2023,275
53615,11/1/2023,333
53616,11/1/2023,20
53623,11/1/2023,159
53624,11/1/2023,241
53625,11/1/2023,93
53626,11/1/2023,307
53627,11/1/2023,266
53628,11/1/2023,155
53629,11/1/2023,324
53630,11/1/2023,192
53631,11/1/2023,39
53632,11/1/2023,163
53641,11/1/2023,137
53642,11/1/2023,185
53643,11/1/2023,172
53644,11/1/2023,181
53645,11/1/2023,410
53646,11/1/2023,414
53647,11/1/2023,162
53648,11/1/2023,78
53653,11/1/2023,168
53654,11/1/2023,24
53659,11/1/2023,79
53660,11/1/2023,183
54001,11/1/2023,78
54002,11/1/2023,72
54003,11/1/2023,278
54004,11/1/2023,44
54005,11/1/2023,1
54006,11/1/2023,287
54007,11/1/2023,303
54008,11/1/2023,75
54009,11/1/2023,453
54011,11/1/2023,267
54012,11/1/2023,240
54013,11/1/2023,319
54014,11/1/2023,40
54015,11/1/2023,33
54016,11/1/2023,429
54018,11/1/2023,469
54021,11/1/2023,285
54022,11/1/2023,234
54023,11/1/2023,150
54024,11/1/2023,79
54031,11/1/2023,395
54032,11/1/2023,166
54033,11/1/2023,131
54034,11/1/2023,106
54035,11/1/2023,81
54036,11/1/2023,301
54037,11/1/2023,304
54038,11/1/2023,211
54039,11/1/2023,286
54040,11/1/2023,430
54041,11/1/2023,385
54042,11/1/2023,166
54043,11/1/2023,401
54044,11/1/2023,53
54045,11/1/2023,58
54046,11/1/2023,239
54047,11/1/2023,24
54048,11/1/2023,251
54049,11/1/2023,132
54050,11/1/2023,111
54051,11/1/2023,56
54052,11/1/2023,28
54053,11/1/2023,167
54054,11/1/2023,149
54055,11/1/2023,89
54056,11/1/2023,379
54057,11/1/2023,187
54058,11/1/2023,274
54059,11/1/2023,42
54060,11/1/2023,419
54071,11/1/2023,219
54072,11/1/2023,232
54075,11/1/2023,280
54076,11/1/2023,118
54077,11/1/2023,175
54078,11/1/2023,171
54085,11/1/2023,29
54086,11/1/2023,222
54091,11/1/2023,435
54092,11/1/2023,148
54101,11/1/2023,97
54102,11/1/2023,203
54103,11/1/2023,22
54104,11/1/2023,115
54105,11/1/2023,317
54106,11/1/2023,198
54107,11/1/2023,211
54108,11/1/2023,240
54109,11/1/2023,316
54110,11/1/2023,106
54151,11/1/2023,165
54152,11/1/2023,265
54153,11/1/2023,22
54154,11/1/2023,17
54155,11/1/2023,123
54156,11/1/2023,250
54157,11/1/2023,136
54158,11/1/2023,236
54159,11/1/2023,154
54160,11/1/2023,131
54192,11/1/2023,212
54193,11/1/2023,187
54211,11/1/2023,137
54212,11/1/2023,127
54221,11/1/2023,298
54222,11/1/2023,252
54223,11/1/2023,285
54224,11/1/2023,26
54225,11/1/2023,64
54226,11/1/2023,89
54227,11/1/2023,120
54228,11/1/2023,87
54231,11/1/2023,307
54232,11/1/2023,181
54233,11/1/2023,296
54234,11/1/2023,101
54237,11/1/2023,154
54238,11/1/2023,69
54239,11/1/2023,273
54240,11/1/2023,230
54243,11/1/2023,277
54244,11/1/2023,390
54251,11/1/2023,363
54252,11/1/2023,325
54253,11/1/2023,60
54254,11/1/2023,88
54255,11/1/2023,486
54256,11/1/2023,253
54261,11/1/2023,270
54262,11/1/2023,151
54263,11/1/2023,30
54264,11/1/2023,289
54265,11/1/2023,2
54266,11/1/2023,286
54267,11/1/2023,201
54268,11/1/2023,404
54270,11/1/2023,120
54271,11/1/2023,120
54272,11/1/2023,143
54273,11/1/2023,266
54274,11/1/2023,372
54281,11/1/2023,371
54282,11/1/2023,147
54283,11/1/2023,264
54284,11/1/2023,410
54291,11/1/2023,241
54292,11/1/2023,209
54293,11/1/2023,324
54294,11/1/2023,91
54301,11/1/2023,342
54302,11/1/2023,130
54303,11/1/2023,209
54304,11/1/2023,198
54305,11/1/2023,323
54306,11/1/2023,246
54307,11/1/2023,478
54308,11/1/2023,135
54309,11/1/2023,393
54310,11/1/2023,271
54311,11/1/2023,33
54312,11/1/2023,35
54313,11/1/2023,296
54314,11/1/2023,64
54315,11/1/2023,133
54316,11/1/2023,216
54321,11/1/2023,262
54322,11/1/2023,77
54323,11/1/2023,200
54324,11/1/2023,101
54325,11/1/2023,283
54326,11/1/2023,250
54327,11/1/2023,104
54328,11/1/2023,137
54329,11/1/2023,136
54330,11/1/2023,83
54331,11/1/2023,370
54332,11/1/2023,43
54333,11/1/2023,53
54334,11/1/2023,171
54335,11/1/2023,177
54336,11/1/2023,146
54341,11/1/2023,272
54342,11/1/2023,46
54351,11/1/2023,91
54352,11/1/2023,48
54353,11/1/2023,118
54354,11/1/2023,20
54355,11/1/2023,365
54356,11/1/2023,273
54371,11/1/2023,143
54372,11/1/2023,12
54373,11/1/2023,369
54374,11/1/2023,429
54375,11/1/2023,129
54376,11/1/2023,171
54377,11/1/2023,342
54378,11/1/2023,274
54381,11/1/2023,365
54382,11/1/2023,32
54383,11/1/2023,395
54384,11/1/2023,318
54385,11/1/2023,76
54386,11/1/2023,79
54387,11/1/2023,39
54388,11/1/2023,104
54389,11/1/2023,150
54390,11/1/2023,376
54391,11/1/2023,23
54392,11/1/2023,449
54393,11/1/2023,474
54394,11/1/2023,288
54395,11/1/2023,251
54396,11/1/2023,269
54397,11/1/2023,163
54398,11/1/2023,221
54401,11/1/2023,76
54402,11/1/2023,23
54403,11/1/2023,129
54404,11/1/2023,182
54405,11/1/2023,382
54406,11/1/2023,71
54411,11/1/2023,340
54412,11/1/2023,201
54413,11/1/2023,9
54414,11/1/2023,247
54415,11/1/2023,411
54416,11/1/2023,136
54417,11/1/2023,297
54418,11/1/2023,286
54419,11/1/2023,355
54420,11/1/2023,261
54421,11/1/2023,276
54422,11/1/2023,185
54461,11/1/2023,31
54462,11/1/2023,250
54463,11/1/2023,32
54464,11/1/2023,157
54465,11/1/2023,331
54466,11/1/2023,89
54467,11/1/2023,98
54468,11/1/2023,156
54469,11/1/2023,4
54470,11/1/2023,411
54471,11/1/2023,247
54472,11/1/2023,155
54473,11/1/2023,56
54474,11/1/2023,239
54475,11/1/2023,193
54476,11/1/2023,86
54481,11/1/2023,80
54482,11/1/2023,351
54483,11/1/2023,293
54484,11/1/2023,185
54485,11/1/2023,102
54486,11/1/2023,161
54502,11/1/2023,240
54503,11/1/2023,55
54505,11/1/2023,115
54506,11/1/2023,228
54511,11/1/2023,66
54512,11/1/2023,146
54521,11/1/2023,108
54522,11/1/2023,152
54531,11/1/2023,227
54532,11/1/2023,235
54539,11/1/2023,194
54540,11/1/2023,191
54541,11/1/2023,80
54542,11/1/2023,27
54551,11/1/2023,147
54552,11/1/2023,432
54553,11/1/2023,84
54555,11/1/2023,116
54556,11/1/2023,189
54557,11/1/2023,124
54558,11/1/2023,383
54559,11/1/2023,454
54560,11/1/2023,138
54561,11/1/2023,161
54562,11/1/2023,122
54563,11/1/2023,101
54564,11/1/2023,140
54571,11/1/2023,312
54572,11/1/2023,120
54575,11/1/2023,327
54576,11/1/2023,314
54581,11/1/2023,222
54582,11/1/2023,314
54601,11/1/2023,302
54602,11/1/2023,17
54603,11/1/2023,14
54604,11/1/2023,339
54605,11/1/2023,98
54606,11/1/2023,295
54611,11/1/2023,312
54612,11/1/2023,281
54613,11/1/2023,203
54614,11/1/2023,115
54615,11/1/2023,313
54616,11/1/2023,193
54621,11/1/2023,131
54622,11/1/2023,247
54625,11/1/2023,113
54626,11/1/2023,51
54631,11/1/2023,479
54632,11/1/2023,8
54633,11/1/2023,229
54634,11/1/2023,192
54635,11/1/2023,161
54636,11/1/2023,409
54637,11/1/2023,223
54638,11/1/2023,157
54641,11/1/2023,247
54642,11/1/2023,193
54643,11/1/2023,135
54644,11/1/2023,207
54645,11/1/2023,49
54646,11/1/2023,134
54653,11/1/2023,2
54654,11/1/2023,86
54701,11/1/2023,202
54702,11/1/2023,84
54703,11/1/2023,71
54704,11/1/2023,302
54751,11/1/2023,182
54752,11/1/2023,160
54753,11/1/2023,92
54754,11/1/2023,220
54755,11/1/2023,386
54756,11/1/2023,287
54757,11/1/2023,339
54758,11/1/2023,37
54781,11/1/2023,305
54782,11/1/2023,329
54783,11/1/2023,92
54784,11/1/2023,148
54785,11/1/2023,139
54786,11/1/2023,120
54787,11/1/2023,229
54788,11/1/2023,83
54791,11/1/2023,112
54792,11/1/2023,8
54793,11/1/2023,80
54794,11/1/2023,304
54801,11/1/2023,349
54802,11/1/2023,236
54803,11/1/2023,112
54804,11/1/2023,96
54805,11/1/2023,202
54806,11/1/2023,268
54807,11/1/2023,147
54808,11/1/2023,20
54809,11/1/2023,376
54810,11/1/2023,156
54811,11/1/2023,291
54812,11/1/2023,348
54813,11/1/2023,179
54814,11/1/2023,93
54815,11/1/2023,183
54816,11/1/2023,162
54817,11/1/2023,359
54818,11/1/2023,452
54819,11/1/2023,338
54820,11/1/2023,311
54821,11/1/2023,259
54822,11/1/2023,40
54823,11/1/2023,87
54824,11/1/2023,43
54881,11/1/2023,89
54882,11/1/2023,363
55001,11/1/2023,211
55002,11/1/2023,321
55005,11/1/2023,286
55006,11/1/2023,264
55007,11/1/2023,267
55008,11/1/2023,199
55009,11/1/2023,266
55010,11/1/2023,232
55011,11/1/2023,164
55012,11/1/2023,119
55013,11/1/2023,50
55014,11/1/2023,43
55015,11/1/2023,34
55017,11/1/2023,30
55018,11/1/2023,239
55019,11/1/2023,22
55020,11/1/2023,49
55021,11/1/2023,312
55022,11/1/2023,17
55024,11/1/2023,226
55025,11/1/2023,217
55026,11/1/2023,255
55027,11/1/2023,296
55028,11/1/2023,115
55029,11/1/2023,178
55030,11/1/2023,264
55031,11/1/2023,115
55032,11/1/2023,369
55033,11/1/2023,18
55034,11/1/2023,170
55035,11/1/2023,226
55036,11/1/2023,57
55037,11/1/2023,238
55038,11/1/2023,201
55039,11/1/2023,277
55040,11/1/2023,328
55041,11/1/2023,361
55042,11/1/2023,201
55043,11/1/2023,292
55044,11/1/2023,87
55045,11/1/2023,259
55046,11/1/2023,234
55049,11/1/2023,286
55050,11/1/2023,245
55101,11/1/2023,201
55102,11/1/2023,148
55103,11/1/2023,64
55104,11/1/2023,275
55107,11/1/2023,78
55108,11/1/2023,19
55109,11/1/2023,265
55110,11/1/2023,165
55111,11/1/2023,473
55112,11/1/2023,256
55113,11/1/2023,263
55114,11/1/2023,43
55115,11/1/2023,485
55116,11/1/2023,71
55117,11/1/2023,167
55118,11/1/2023,222
55119,11/1/2023,41
55120,11/1/2023,58
55121,11/1/2023,59
55122,11/1/2023,465
55123,11/1/2023,53
55124,11/1/2023,303
55125,11/1/2023,230
55126,11/1/2023,243
55127,11/1/2023,244
55128,11/1/2023,247
55129,11/1/2023,366
55130,11/1/2023,177
55131,11/1/2023,9
55132,11/1/2023,74
55133,11/1/2023,21
55134,11/1/2023,320
55135,11/1/2023,198
55136,11/1/2023,93
55137,11/1/2023,275
55138,11/1/2023,410
55139,11/1/2023,289
55140,11/1/2023,284
55142,11/1/2023,331
55143,11/1/2023,191
55144,11/1/2023,180
55145,11/1/2023,151
55146,11/1/2023,379
55149,11/1/2023,181
55150,11/1/2023,377
55159,11/1/2023,33
55160,11/1/2023,279
55162,11/1/2023,26
55201,11/1/2023,112
55203,11/1/2023,242
55204,11/1/2023,149
55207,11/1/2023,189
55209,11/1/2023,72
55210,11/1/2023,221
55211,11/1/2023,290
55212,11/1/2023,310
55217,11/1/2023,330
55218,11/1/2023,220
55219,11/1/2023,4
55231,11/1/2023,393
55232,11/1/2023,190
55237,11/1/2023,88
55238,11/1/2023,366
55239,11/1/2023,58
55240,11/1/2023,53
55241,11/1/2023,292
55242,11/1/2023,207
55243,11/1/2023,358
55244,11/1/2023,62
55245,11/1/2023,214
55246,11/1/2023,137
55247,11/1/2023,156
55248,11/1/2023,114
55301,11/1/2023,192
55302,11/1/2023,203
55303,11/1/2023,269
55304,11/1/2023,32
55305,11/1/2023,175
55306,11/1/2023,444
55307,11/1/2023,106
55308,11/1/2023,160
55309,11/1/2023,8
55310,11/1/2023,111
55311,11/1/2023,284
55312,11/1/2023,235
55313,11/1/2023,1
55314,11/1/2023,40
55315,11/1/2023,330
55316,11/1/2023,167
55317,11/1/2023,93
55318,11/1/2023,56
55319,11/1/2023,27
55320,11/1/2023,122
55321,11/1/2023,345
55322,11/1/2023,17
55323,11/1/2023,274
55324,11/1/2023,305
55325,11/1/2023,219
55326,11/1/2023,206
55327,11/1/2023,248
55328,11/1/2023,284
55329,11/1/2023,141
55330,11/1/2023,122
55331,11/1/2023,71
55332,11/1/2023,278
55333,11/1/2023,282
55334,11/1/2023,298
55335,11/1/2023,117
55337,11/1/2023,384
55338,11/1/2023,130
55339,11/1/2023,359
55341,11/1/2023,239
55342,11/1/2023,448
55347,11/1/2023,128
55348,11/1/2023,133
55349,11/1/2023,132
55501,11/1/2023,262
55502,11/1/2023,267
55503,11/1/2023,311
55504,11/1/2023,47
55506,11/1/2023,25
55507,11/1/2023,319
55508,11/1/2023,11
55509,11/1/2023,401
55510,11/1/2023,63
55511,11/1/2023,319
55512,11/1/2023,65
55513,11/1/2023,6
55514,11/1/2023,341
55515,11/1/2023,185
55516,11/1/2023,119
55517,11/1/2023,276
55518,11/1/2023,135
55519,11/1/2023,163
55520,11/1/2023,202
55525,11/1/2023,24
55528,11/1/2023,45
55529,11/1/2023,150
55530,11/1/2023,95
55531,11/1/2023,154
55532,11/1/2023,329
55535,11/1/2023,9
55536,11/1/2023,174
55537,11/1/2023,265
55538,11/1/2023,113
55539,11/1/2023,293
55540,11/1/2023,147
55541,11/1/2023,147
55542,11/1/2023,250
55549,11/1/2023,266
55552,11/1/2023,270
55553,11/1/2023,373
55554,11/1/2023,186
55555,11/1/2023,247
55556,11/1/2023,289
55557,11/1/2023,69
55558,11/1/2023,19
55559,11/1/2023,51
55560,11/1/2023,67
55565,11/1/2023,163
55566,11/1/2023,382
55567,11/1/2023,329
55568,11/1/2023,455
55569,11/1/2023,221
55570,11/1/2023,105
55573,11/1/2023,69
55574,11/1/2023,236
55575,11/1/2023,129
55576,11/1/2023,38
55577,11/1/2023,115
55578,11/1/2023,4
55603,11/1/2023,119
55604,11/1/2023,443
55607,11/1/2023,123
55608,11/1/2023,278
55609,11/1/2023,383
55610,11/1/2023,434
55611,11/1/2023,331
55612,11/1/2023,50
55617,11/1/2023,202
55618,11/1/2023,382
55707,11/1/2023,261
55708,11/1/2023,365
55711,11/1/2023,17
55712,11/1/2023,350
55713,11/1/2023,210
55714,11/1/2023,14
55715,11/1/2023,301
55716,11/1/2023,239
55721,11/1/2023,54
55722,11/1/2023,163
55725,11/1/2023,19
55726,11/1/2023,177
55727,11/1/2023,130
55728,11/1/2023,276
55729,11/1/2023,42
55730,11/1/2023,368
55731,11/1/2023,164
55732,11/1/2023,187
55733,11/1/2023,226
55734,11/1/2023,22
55735,11/1/2023,242
55736,11/1/2023,72
55737,11/1/2023,204
55738,11/1/2023,116
55739,11/1/2023,121
55740,11/1/2023,233
55741,11/1/2023,449
55742,11/1/2023,117
55743,11/1/2023,337
55744,11/1/2023,216
55745,11/1/2023,195
55746,11/1/2023,81
55747,11/1/2023,256
55748,11/1/2023,63
55749,11/1/2023,305
55750,11/1/2023,296
55751,11/1/2023,52
55752,11/1/2023,186
55753,11/1/2023,241
55754,11/1/2023,21
55755,11/1/2023,33
55756,11/1/2023,7
55757,11/1/2023,295
55758,11/1/2023,73
55759,11/1/2023,51
55760,11/1/2023,137
55791,11/1/2023,92
55792,11/1/2023,347
55793,11/1/2023,337
55794,11/1/2023,71
55801,11/1/2023,193
55802,11/1/2023,207
55805,11/1/2023,326
55806,11/1/2023,208
55809,11/1/2023,26
55810,11/1/2023,126
55811,11/1/2023,354
55812,11/1/2023,62
55815,11/1/2023,307
55816,11/1/2023,372
55817,11/1/2023,399
55818,11/1/2023,235
55901,11/1/2023,246
55902,11/1/2023,365
55903,11/1/2023,2
55904,11/1/2023,371
55905,11/1/2023,185
55906,11/1/2023,82
55907,11/1/2023,149
55908,11/1/2023,350
55913,11/1/2023,393
55914,11/1/2023,328
56001,11/1/2023,291
56002,11/1/2023,367
56003,11/1/2023,3
56004,11/1/2023,295
56005,11/1/2023,287
56006,11/1/2023,207
56007,11/1/2023,160
56008,11/1/2023,395
56009,11/1/2023,217
56010,11/1/2023,322
56011,11/1/2023,111
56012,11/1/2023,186
56013,11/1/2023,231
56014,11/1/2023,281
56037,11/1/2023,224
56038,11/1/2023,374
56039,11/1/2023,285
56040,11/1/2023,350
56041,11/1/2023,33
56042,11/1/2023,297
56043,11/1/2023,390
56044,11/1/2023,244
56045,11/1/2023,114
56046,11/1/2023,228
56100,11/1/2023,318
56101,11/1/2023,409
56102,11/1/2023,333
56103,11/1/2023,302
56136,11/1/2023,320
56137,11/1/2023,302
56138,11/1/2023,219
56139,11/1/2023,72
56140,11/1/2023,288
56141,11/1/2023,166
56142,11/1/2023,1
56143,11/1/2023,71
56144,11/1/2023,72
56145,11/1/2023,61
56146,11/1/2023,339
56147,11/1/2023,85
